parameter,sparsity,loss,top1_acc
layer3.0.downsample.0,0.75,0.7232174121856689,0.7859999537467957
layer3.0.downsample.0,0.8,0.7225161548614502,0.7864999771118164
layer3.0.downsample.0,0.8500000000000001,0.7261338327407837,0.784500002861023
layer3.0.downsample.0,0.9,0.7261750455856323,0.7853999733924866
layer3.0.downsample.0,0.9500000000000001,0.730504475402832,0.7838999629020691
layer3.1.conv1,0.0,0.7166622844696044,0.7874999642372131
layer3.1.conv1,0.05,0.7166596300125122,0.7874999642372131
layer3.1.conv1,0.1,0.7166279712677002,0.7874999642372131
layer3.1.conv1,0.15000000000000002,0.7166315895080566,0.7874999642372131
layer3.1.conv1,0.2,0.7166637092590332,0.7874999642372131
layer3.1.conv1,0.25,0.7165861402511596,0.7876999974250793
layer3.1.conv1,0.30000000000000004,0.7166363773345947,0.7874999642372131
layer3.1.conv1,0.35000000000000003,0.7165974266052246,0.7875999808311462
layer3.1.conv1,0.4,0.7166027103424072,0.7876999974250793
layer3.1.conv1,0.45,0.7164848333358764,0.7878999710083008
layer3.1.conv1,0.5,0.7163775505065918,0.7878999710083008
layer3.1.conv1,0.55,0.7164380956649781,0.7882999777793884
layer3.1.conv1,0.6000000000000001,0.7164166311264039,0.788100004196167
layer3.1.conv1,0.65,0.7164225049972535,0.7879999876022339
layer3.1.conv1,0.7000000000000001,0.7165879640579224,0.7879999876022339
layer3.1.conv1,0.75,0.7161163682937622,0.7878999710083008
layer3.1.conv1,0.8,0.7147616121292114,0.788100004196167
layer3.1.conv1,0.8500000000000001,0.7131107879638672,0.7879999876022339
layer3.1.conv1,0.9,0.710641912651062,0.7886999845504761
layer3.1.conv1,0.9500000000000001,0.7059142116546631,0.7893999814987183
layer3.1.conv2,0.0,0.7166622844696044,0.7874999642372131
layer3.1.conv2,0.05,0.7166588743209839,0.7874999642372131
layer3.1.conv2,0.1,0.7166077352523804,0.7874999642372131
layer3.1.conv2,0.15000000000000002,0.7166098907470703,0.7874999642372131
layer3.1.conv2,0.2,0.7163773532867431,0.7874000072479248
layer3.1.conv2,0.25,0.716285952758789,0.7875999808311462
layer3.1.conv2,0.30000000000000004,0.7162288909912109,0.7874000072479248
layer3.1.conv2,0.35000000000000003,0.7162797040939332,0.7876999974250793
layer3.1.conv2,0.4,0.7156955146789551,0.7879999876022339
layer3.1.conv2,0.45,0.7157025894165039,0.7877999544143677
layer3.1.conv2,0.5,0.7158695064544678,0.7878999710083008
layer3.1.conv2,0.55,0.7152522932052612,0.7879999876022339
layer3.1.conv2,0.6000000000000001,0.7142697320938111,0.7882999777793884
layer3.1.conv2,0.65,0.7140780448913574,0.7879999876022339
layer3.1.conv2,0.7000000000000001,0.7133856330871582,0.788100004196167
layer3.1.conv2,0.75,0.7121737617492676,0.7892999649047852
layer3.1.conv2,0.8,0.7107372375488281,0.7892999649047852
layer3.1.conv2,0.8500000000000001,0.708649425315857,0.7893999814987183
layer3.1.conv2,0.9,0.7063414272308349,0.7886999845504761
layer3.1.conv2,0.9500000000000001,0.7011803939819335,0.7893999814987183
layer4.0.conv1,0.0,0.7166622844696044,0.7874999642372131
layer4.0.conv1,0.05,0.7166711498260498,0.7874999642372131
layer4.0.conv1,0.1,0.7166660377502442,0.7876999974250793
layer4.0.conv1,0.15000000000000002,0.7165735542297363,0.7877999544143677
layer4.0.conv1,0.2,0.7167280281066895,0.7877999544143677
layer4.0.conv1,0.25,0.7166585283279419,0.7878999710083008
layer4.0.conv1,0.30000000000000004,0.7166641000747681,0.7874999642372131
layer4.0.conv1,0.35000000000000003,0.7164146631240845,0.7872999906539917
layer4.0.conv1,0.4,0.7162904615402221,0.7870999574661255
layer4.0.conv1,0.45,0.7161330247879029,0.7870999574661255
layer4.0.conv1,0.5,0.7147942079544067,0.786799967288971
